Country,IP Address,Timestamp,URL,Browser Type,Referral URL
China,198.51.100.5,13:33:09,/index.html,Opera,Facebook
Denmark,203.0.113.6,23:11:53,/equestrian.html,Mozilla Firefox,Facebook
Lebanon,198.51.100.12,22:54:18,/equestrian.html,Internet Explorer,Facebook
Argentina,203.0.113.2,11:37:28,/trackandfield.html,Microsoft Edge,Facebook
Belgium,192.0.2.3,11:28:40,/volleyball.html,Microsoft Edge,Facebook
South Africa,192.0.2.17,07:46:03,/judo.html,Internet Explorer,Facebook
Poland,192.0.2.15,02:47:30,/equestrian.html,Mozilla Firefox,Facebook
Nepal,203.0.113.13,04:45:21,/judo.html,Opera,Facebook
Algeria,192.0.2.1,08:28:13,/tabletennis.html,Safari,Facebook
Poland,192.0.2.15,02:54:05,/tabletennis.html,Opera,Twitter
New Zealand,198.51.100.14,03:39:41,/searchsports.php,Safari,Twitter
Netherlands,192.0.2.13,22:54:09,/swimming.html,Internet Explorer,Twitter
China,198.51.100.5,08:08:19,/index.html,Opera,Twitter
Japan,198.51.100.11,17:59:30,/trackandfield.html,Microsoft Edge,Facebook
Austria,198.51.100.3,08:36:17,/sailing.html,Microsoft Edge,Twitter
Argentina,203.0.113.2,01:31:48,/searchsports.php,Safari,Twitter
Albania,203.0.113.1,12:01:08,/diving.html,Mozilla Firefox,Facebook
Nigeria,203.0.113.14,05:55:54,/boxing.html,Safari,Twitter
Cuba,192.0.2.5,09:42:59,/sailing.html,Mozilla Firefox,Facebook
Denmark,203.0.113.6,17:09:27,/football.html,Google Chrome,Facebook
Nigeria,203.0.113.14,18:53:52,/Triathalon.html,Safari,Facebook
Russia,192.0.2.16,09:54:39,/boxing.html,Internet Explorer,Facebook
Cuba,192.0.2.5,06:27:05,/handball.html,Microsoft Edge,Facebook
Afghanistan,198.51.100.1,10:09:16,/tabletennis.html,Mozilla Firefox,Facebook
Pakistan,198.51.100.15,04:09:02,/index.html,Internet Explorer,Google Search
Belgium,192.0.2.3,07:52:26,/volleyball.html,Mozilla Firefox,Facebook
Czech Republic,198.51.100.6,07:22:51,/Triathalon.html,Opera,Twitter
New Zealand,198.51.100.14,00:50:15,/basketball.html,Internet Explorer,LinkedIn
Singapore,203.0.113.17,12:01:50,/shooting.html,Microsoft Edge,Facebook
Bangladesh,203.0.113.3,20:04:05,/weightlifting.html,Mozilla Firefox,Facebook
Iraq,192.0.2.9,00:32:36,/fencing.html,Opera,Twitter
Poland,192.0.2.15,05:17:31,/searchsports.php,Microsoft Edge,Facebook
Russia,192.0.2.16,20:00:24,/index.html,Google Chrome,Twitter
Norway,192.0.2.14,23:11:17,/equestrian.html,Google Chrome,Twitter
Nepal,203.0.113.13,23:26:52,/fencing.html,Opera,Google Search
New Zealand,198.51.100.14,11:54:15,/rowing.html,Google Chrome,LinkedIn
Morocco,198.51.100.13,05:52:49,/volleyball.html,Internet Explorer,Google Search
Ireland,198.51.100.10,16:37:56,/swimming.html,Google Chrome,Twitter
Kenya,203.0.113.11,22:16:00,/index.html,Google Chrome,Facebook
Albania,203.0.113.1,00:22:09,/index.html,Opera,LinkedIn
Iran,203.0.113.9,22:38:30,/equestrian.html,Internet Explorer,Facebook
Malaysia,203.0.113.12,19:49:49,/fencing.html,Opera,Facebook
Chile,192.0.2.4,22:02:06,/olympics.html,Internet Explorer,Twitter
Russia,192.0.2.16,23:43:43,/olympics.html,Opera,Facebook
Ireland,198.51.100.10,06:35:18,/index.html,Google Chrome,Facebook
Hungary,203.0.113.8,19:33:47,/rowing.html,Safari,Facebook
Nepal,203.0.113.13,18:13:43,/basketball.html,Microsoft Edge,Facebook
Russia,192.0.2.16,23:20:02,/gymnastics.html,Google Chrome,Facebook
Chile,192.0.2.4,08:55:18,/equestrian.html,Google Chrome,Twitter
New Zealand,198.51.100.14,19:44:01,/Triathalon.html,Safari,Facebook
Greece,198.51.100.8,23:22:16,/diving.html,Microsoft Edge,Facebook
Singapore,203.0.113.17,00:24:44,/handball.html,Mozilla Firefox,Twitter
Germany,192.0.2.7,10:54:27,/shooting.html,Microsoft Edge,Twitter
Bangladesh,203.0.113.3,05:52:16,/olympics.html,Microsoft Edge,Twitter
Cuba,192.0.2.5,08:04:37,/olympics.html,Opera,LinkedIn
Colombia,203.0.113.5,08:27:27,/trackandfield.html,Safari,Twitter
Czech Republic,198.51.100.6,16:53:41,/football.html,Google Chrome,Facebook
Chile,192.0.2.4,04:41:38,/judo.html,Microsoft Edge,Twitter
Japan,198.51.100.11,02:02:41,/diving.html,Google Chrome,Facebook
Iraq,192.0.2.9,21:52:54,/volleyball.html,Mozilla Firefox,LinkedIn
Portugal,198.51.100.16,23:44:59,/olympics.html,Google Chrome,Facebook
Pakistan,198.51.100.15,20:54:28,/shooting.html,Opera,Twitter
Nepal,203.0.113.13,19:43:11,/tennis.html,Google Chrome,Twitter
Iran,203.0.113.9,15:26:46,/boxing.html,Safari,Twitter
Hungary,203.0.113.8,15:14:58,/swimming.html,Opera,Facebook
Bangladesh,203.0.113.3,09:50:04,/swimming.html,Internet Explorer,Twitter
Lebanon,198.51.100.12,14:23:21,/shooting.html,Safari,Facebook
Czech Republic,198.51.100.6,02:23:48,/rowing.html,Microsoft Edge,Facebook
Hungary,203.0.113.8,23:18:39,/handball.html,Internet Explorer,Facebook
Canada,203.0.113.4,05:41:03,/Triathalon.html,Mozilla Firefox,Facebook
Japan,198.51.100.11,23:20:19,/searchsports.php,Mozilla Firefox,Facebook
South Africa,192.0.2.17,01:53:28,/swimming.html,Microsoft Edge,Google Search
Italy,192.0.2.10,08:52:49,/index.html,Opera,Google Search
Argentina,203.0.113.2,14:42:24,/index.html,Opera,Twitter
New Zealand,198.51.100.14,17:32:00,/tabletennis.html,Safari,Facebook
Brazil,198.51.100.4,00:26:24,/karate.html,Google Chrome,Facebook
South Korea,192.0.2.11,20:12:56,/basketball.html,Internet Explorer,Twitter
Angola,198.51.100.2,13:40:17,/olympics.html,Google Chrome,LinkedIn
South Africa,192.0.2.17,11:03:41,/rowing.html,Opera,Facebook
Mexico,192.0.2.12,06:27:23,/basketball.html,Safari,Twitter
Poland,192.0.2.15,03:38:17,/rowing.html,Safari,Twitter
Chile,192.0.2.4,19:27:39,/images/games.jpg,Google Chrome,Facebook
Austria,198.51.100.3,11:40:11,/basketball.html,Google Chrome,Facebook
Canada,203.0.113.4,04:05:52,/index.html,Internet Explorer,Facebook
Lebanon,198.51.100.12,15:52:38,/rowing.html,Safari,LinkedIn
Morocco,198.51.100.13,05:15:36,/trackandfield.html,Google Chrome,Facebook
Russia,192.0.2.16,07:27:57,/diving.html,Safari,Facebook
Malaysia,203.0.113.12,20:34:11,/rowing.html,Microsoft Edge,Facebook
Canada,203.0.113.4,14:02:08,/boxing.html,Safari,Facebook
Denmark,203.0.113.6,17:59:54,/images/games.jpg,Google Chrome,LinkedIn
Malaysia,203.0.113.12,09:22:25,/trackandfield.html,Internet Explorer,LinkedIn
Angola,198.51.100.2,03:37:39,/archery.html,Microsoft Edge,Facebook
Morocco,198.51.100.13,15:50:41,/images/games.jpg,Internet Explorer,Facebook
Portugal,198.51.100.16,11:59:30,/judo.html,Safari,Twitter
Albania,203.0.113.1,18:53:18,/Triathalon.html,Safari,Twitter
South Korea,192.0.2.11,09:28:57,/Triathalon.html,Mozilla Firefox,Facebook
Morocco,198.51.100.13,07:22:28,/fencing.html,Opera,Twitter
Brazil,198.51.100.4,11:54:29,/shooting.html,Internet Explorer,Google Search
Kenya,203.0.113.11,09:16:24,/weightlifting.html,Microsoft Edge,Twitter
Israel,203.0.113.10,12:44:06,/handball.html,Internet Explorer,Facebook
Canada,203.0.113.4,16:36:37,/diving.html,Internet Explorer,Twitter
Brazil,198.51.100.4,12:21:04,/index.html,Safari,Google Search
South Africa,192.0.2.17,02:43:00,/handball.html,Safari,Facebook
Pakistan,198.51.100.15,07:59:58,/swimming.html,Internet Explorer,Facebook
Israel,203.0.113.10,18:18:41,/diving.html,Internet Explorer,Twitter
Philippines,203.0.113.15,04:39:30,/tennis.html,Internet Explorer,Google Search
Singapore,203.0.113.17,10:03:21,/swimming.html,Google Chrome,Google Search
Cuba,192.0.2.5,12:31:30,/judo.html,Mozilla Firefox,Twitter
Bangladesh,203.0.113.3,06:54:37,/karate.html,Safari,Facebook
Italy,192.0.2.10,03:59:10,/trackandfield.html,Opera,Twitter
Czech Republic,198.51.100.6,07:05:41,/tennis.html,Safari,Google Search
New Zealand,198.51.100.14,23:35:37,/basketball.html,Internet Explorer,Facebook
Cuba,192.0.2.5,14:58:01,/rowing.html,Google Chrome,Twitter
Romania,203.0.113.16,22:48:56,/fencing.html,Safari,Twitter
Egypt,192.0.2.6,19:01:58,/tabletennis.html,Safari,Twitter
Angola,198.51.100.2,01:08:08,/rowing.html,Google Chrome,Twitter
Iraq,192.0.2.9,08:56:45,/sailing.html,Mozilla Firefox,Google Search
Netherlands,192.0.2.13,09:26:41,/olympics.html,Microsoft Edge,Facebook
Romania,203.0.113.16,16:21:42,/olympics.html,Internet Explorer,LinkedIn
Russia,192.0.2.16,23:36:35,/tabletennis.html,Microsoft Edge,LinkedIn
Russia,192.0.2.16,11:08:27,/rowing.html,Mozilla Firefox,Twitter
Egypt,192.0.2.6,20:29:42,/equestrian.html,Mozilla Firefox,Twitter
Colombia,203.0.113.5,21:24:59,/weightlifting.html,Google Chrome,Facebook
Germany,192.0.2.7,03:31:12,/images/games.jpg,Safari,Twitter
Finland,198.51.100.7,13:13:03,/Triathalon.html,Microsoft Edge,Facebook
Chile,192.0.2.4,02:59:27,/weightlifting.html,Opera,Google Search
Austria,198.51.100.3,04:27:14,/archery.html,Microsoft Edge,Twitter
Iran,203.0.113.9,11:14:30,/fencing.html,Safari,Google Search
Ireland,198.51.100.10,02:50:58,/fencing.html,Internet Explorer,Twitter
Argentina,203.0.113.2,22:14:02,/judo.html,Google Chrome,Facebook
India,192.0.2.8,12:19:40,/Triathalon.html,Google Chrome,Facebook
Malaysia,203.0.113.12,13:52:37,/rowing.html,Google Chrome,Facebook
France,203.0.113.7,01:27:18,/karate.html,Mozilla Firefox,Google Search
Egypt,192.0.2.6,13:56:12,/index.html,Safari,Facebook
Hungary,203.0.113.8,21:21:59,/boxing.html,Opera,Facebook
Ireland,198.51.100.10,07:38:46,/trackandfield.html,Internet Explorer,Google Search
Finland,198.51.100.7,06:34:57,/equestrian.html,Internet Explorer,Facebook
Egypt,192.0.2.6,02:04:03,/football.html,Internet Explorer,Facebook
Poland,192.0.2.15,17:12:07,/tennis.html,Microsoft Edge,Facebook
Mexico,192.0.2.12,18:11:56,/searchsports.php,Microsoft Edge,Facebook
Malaysia,203.0.113.12,15:52:53,/images/games.jpg,Opera,Facebook
Colombia,203.0.113.5,07:11:03,/trackandfield.html,Internet Explorer,Twitter
Nigeria,203.0.113.14,21:24:08,/index.html,Microsoft Edge,Facebook
Portugal,198.51.100.16,11:50:59,/index.html,Microsoft Edge,Facebook
Russia,192.0.2.16,07:51:39,/weightlifting.html,Mozilla Firefox,Twitter
Germany,192.0.2.7,22:48:34,/weightlifting.html,Internet Explorer,Twitter
Egypt,192.0.2.6,15:54:08,/karate.html,Google Chrome,Facebook
India,192.0.2.8,22:58:27,/judo.html,Internet Explorer,Twitter
Saudi Arabia,198.51.100.17,20:51:22,/index.html,Mozilla Firefox,Twitter
Malaysia,203.0.113.12,16:43:57,/boxing.html,Opera,Facebook
Greece,198.51.100.8,18:23:01,/karate.html,Opera,Facebook
Cuba,192.0.2.5,13:55:39,/swimming.html,Mozilla Firefox,Twitter
China,198.51.100.5,16:06:31,/archery.html,Internet Explorer,Facebook
Iraq,192.0.2.9,21:11:05,/index.html,Google Chrome,Facebook
Germany,192.0.2.7,23:22:22,/basketball.html,Opera,Facebook
Lebanon,198.51.100.12,14:10:14,/diving.html,Microsoft Edge,Twitter
Nigeria,203.0.113.14,10:51:10,/handball.html,Microsoft Edge,Twitter
Russia,192.0.2.16,04:44:07,/rowing.html,Opera,Facebook
Israel,203.0.113.10,22:24:19,/judo.html,Google Chrome,Facebook
Austria,198.51.100.3,19:34:15,/karate.html,Opera,Facebook
Nigeria,203.0.113.14,09:55:38,/volleyball.html,Google Chrome,Twitter
South Africa,192.0.2.17,21:27:16,/archery.html,Safari,Twitter
France,203.0.113.7,19:33:08,/images/games.jpg,Internet Explorer,Twitter
Germany,192.0.2.7,21:50:38,/handball.html,Safari,Facebook
Germany,192.0.2.7,19:02:02,/football.html,Internet Explorer,Facebook
India,192.0.2.8,23:55:49,/karate.html,Microsoft Edge,Twitter
Algeria,192.0.2.1,09:22:13,/index.html,Google Chrome,Facebook
Finland,198.51.100.7,02:00:46,/karate.html,Google Chrome,Twitter
China,198.51.100.5,14:46:36,/trackandfield.html,Mozilla Firefox,Google Search
Denmark,203.0.113.6,07:57:39,/archery.html,Internet Explorer,Facebook
Japan,198.51.100.11,23:56:47,/olympics.html,Google Chrome,Twitter
Kenya,203.0.113.11,02:18:57,/sailing.html,Microsoft Edge,Google Search
Belgium,192.0.2.3,22:52:56,/index.html,Google Chrome,Twitter
Malaysia,203.0.113.12,02:15:40,/archery.html,Microsoft Edge,Twitter
Denmark,203.0.113.6,03:22:57,/searchsports.php,Mozilla Firefox,Twitter
Bangladesh,203.0.113.3,08:46:18,/weightlifting.html,Internet Explorer,Facebook
Belgium,192.0.2.3,01:35:40,/Triathalon.html,Mozilla Firefox,LinkedIn
Austria,198.51.100.3,01:29:41,/images/games.jpg,Safari,Twitter
South Korea,192.0.2.11,14:49:26,/sailing.html,Mozilla Firefox,Twitter
New Zealand,198.51.100.14,14:43:38,/index.html,Opera,Facebook
Australia,192.0.2.2,18:36:31,/images/games.jpg,Microsoft Edge,Twitter
Mexico,192.0.2.12,08:36:02,/gymnastics.html,Internet Explorer,Twitter
Australia,192.0.2.2,15:25:02,/images/games.jpg,Mozilla Firefox,Facebook
Canada,203.0.113.4,11:04:22,/archery.html,Internet Explorer,Twitter
Australia,192.0.2.2,17:39:53,/tabletennis.html,Google Chrome,Facebook
Germany,192.0.2.7,20:56:20,/rowing.html,Mozilla Firefox,Facebook
Brazil,198.51.100.4,09:01:44,/diving.html,Microsoft Edge,Facebook
Australia,192.0.2.2,17:16:05,/basketball.html,Google Chrome,LinkedIn
Nigeria,203.0.113.14,21:13:55,/trackandfield.html,Opera,Facebook
Kenya,203.0.113.11,01:59:11,/swimming.html,Opera,Google Search
Portugal,198.51.100.16,10:03:54,/rowing.html,Microsoft Edge,Facebook
Algeria,192.0.2.1,09:30:31,/index.html,Google Chrome,Facebook
Nepal,203.0.113.13,15:15:38,/olympics.html,Internet Explorer,Twitter
Egypt,192.0.2.6,14:24:08,/judo.html,Google Chrome,Twitter
Kenya,203.0.113.11,09:09:57,/archery.html,Google Chrome,Facebook
Italy,192.0.2.10,22:06:06,/fencing.html,Google Chrome,Facebook
Israel,203.0.113.10,23:19:25,/index.html,Opera,Facebook
Poland,192.0.2.15,10:09:36,/shooting.html,Safari,Facebook
Cuba,192.0.2.5,04:38:14,/tennis.html,Microsoft Edge,LinkedIn
Nigeria,203.0.113.14,08:43:20,/sailing.html,Mozilla Firefox,Facebook
Kenya,203.0.113.11,02:37:01,/fencing.html,Safari,Facebook
Austria,198.51.100.3,23:56:28,/index.html,Google Chrome,Google Search
Morocco,198.51.100.13,20:06:10,/volleyball.html,Internet Explorer,Facebook
Brazil,198.51.100.4,02:13:59,/swimming.html,Opera,Facebook
Cuba,192.0.2.5,22:53:42,/sailing.html,Google Chrome,Facebook
Nigeria,203.0.113.14,06:11:44,/volleyball.html,Safari,Facebook
Cuba,192.0.2.5,06:48:15,/weightlifting.html,Google Chrome,Twitter
Colombia,203.0.113.5,22:02:18,/gymnastics.html,Internet Explorer,Facebook
Colombia,203.0.113.5,21:36:53,/tennis.html,Safari,Facebook
Austria,198.51.100.3,17:11:23,/boxing.html,Internet Explorer,Facebook
Russia,192.0.2.16,03:33:48,/gymnastics.html,Safari,Facebook
Germany,192.0.2.7,17:00:30,/searchsports.php,Mozilla Firefox,Facebook
Brazil,198.51.100.4,00:51:08,/olympics.html,Google Chrome,Twitter
Malaysia,203.0.113.12,18:28:30,/archery.html,Google Chrome,Twitter
Japan,198.51.100.11,18:23:08,/judo.html,Microsoft Edge,Facebook
Colombia,203.0.113.5,03:53:56,/olympics.html,Mozilla Firefox,Twitter
South Korea,192.0.2.11,15:47:01,/boxing.html,Safari,Twitter
Romania,203.0.113.16,00:30:09,/diving.html,Safari,Facebook
Netherlands,192.0.2.13,22:44:11,/football.html,Opera,Facebook
Albania,203.0.113.1,15:40:34,/diving.html,Microsoft Edge,Twitter
Egypt,192.0.2.6,03:14:32,/tabletennis.html,Internet Explorer,Twitter
Afghanistan,198.51.100.1,10:24:57,/swimming.html,Microsoft Edge,Facebook
Romania,203.0.113.16,01:16:07,/searchsports.php,Safari,Facebook
Italy,192.0.2.10,10:09:04,/weightlifting.html,Safari,Twitter
France,203.0.113.7,17:47:45,/tennis.html,Opera,Facebook
Russia,192.0.2.16,19:20:53,/archery.html,Mozilla Firefox,Facebook
Austria,198.51.100.3,10:03:23,/football.html,Google Chrome,Twitter
Ireland,198.51.100.10,18:59:07,/rowing.html,Mozilla Firefox,Facebook
Italy,192.0.2.10,03:19:06,/tabletennis.html,Opera,Twitter
Egypt,192.0.2.6,16:41:01,/swimming.html,Safari,Facebook
Argentina,203.0.113.2,21:20:36,/index.html,Safari,LinkedIn
Afghanistan,198.51.100.1,20:44:04,/weightlifting.html,Opera,Twitter
France,203.0.113.7,20:41:52,/volleyball.html,Internet Explorer,Facebook
France,203.0.113.7,04:23:15,/rowing.html,Microsoft Edge,Twitter
Romania,203.0.113.16,01:09:28,/rowing.html,Mozilla Firefox,Google Search
Nepal,203.0.113.13,09:02:51,/boxing.html,Mozilla Firefox,Twitter
Australia,192.0.2.2,20:46:19,/Triathalon.html,Google Chrome,Facebook
Algeria,192.0.2.1,01:40:44,/fencing.html,Google Chrome,Facebook
India,192.0.2.8,04:54:36,/tennis.html,Opera,Facebook
Denmark,203.0.113.6,00:05:28,/swimming.html,Google Chrome,Twitter
Australia,192.0.2.2,04:20:21,/equestrian.html,Safari,Facebook
Lebanon,198.51.100.12,01:09:00,/index.html,Opera,Twitter
Israel,203.0.113.10,14:42:58,/swimming.html,Microsoft Edge,Twitter
New Zealand,198.51.100.14,02:14:07,/fencing.html,Mozilla Firefox,Facebook
Pakistan,198.51.100.15,18:06:07,/diving.html,Google Chrome,Twitter
Mexico,192.0.2.12,07:28:19,/basketball.html,Microsoft Edge,Facebook
Colombia,203.0.113.5,14:22:01,/tabletennis.html,Microsoft Edge,Google Search
Chile,192.0.2.4,04:51:04,/diving.html,Mozilla Firefox,Facebook
New Zealand,198.51.100.14,15:52:10,/weightlifting.html,Internet Explorer,Facebook
Nepal,203.0.113.13,01:41:07,/shooting.html,Internet Explorer,Twitter
Philippines,203.0.113.15,22:30:54,/shooting.html,Microsoft Edge,LinkedIn
Germany,192.0.2.7,01:09:46,/weightlifting.html,Google Chrome,Twitter
Czech Republic,198.51.100.6,20:16:30,/fencing.html,Microsoft Edge,Facebook
Portugal,198.51.100.16,00:22:54,/shooting.html,Internet Explorer,Twitter
Afghanistan,198.51.100.1,02:54:29,/football.html,Mozilla Firefox,Twitter
Romania,203.0.113.16,21:09:50,/judo.html,Mozilla Firefox,Twitter
Romania,203.0.113.16,22:32:42,/Triathalon.html,Safari,Twitter
China,198.51.100.5,05:48:39,/diving.html,Mozilla Firefox,Facebook
Albania,203.0.113.1,14:16:27,/gymnastics.html,Google Chrome,Twitter
Saudi Arabia,198.51.100.17,19:37:37,/equestrian.html,Safari,Twitter
Argentina,203.0.113.2,02:58:41,/karate.html,Google Chrome,Google Search
Saudi Arabia,198.51.100.17,00:28:35,/shooting.html,Microsoft Edge,Facebook
Australia,192.0.2.2,08:54:47,/handball.html,Opera,Twitter
Argentina,203.0.113.2,20:22:17,/boxing.html,Opera,Twitter
Czech Republic,198.51.100.6,20:34:43,/football.html,Safari,Twitter
Denmark,203.0.113.6,14:46:42,/images/games.jpg,Mozilla Firefox,Facebook
Nepal,203.0.113.13,09:44:43,/gymnastics.html,Google Chrome,Facebook
Afghanistan,198.51.100.1,10:09:06,/swimming.html,Safari,Facebook
Algeria,192.0.2.1,18:13:56,/images/games.jpg,Safari,Facebook
South Africa,192.0.2.17,12:39:59,/handball.html,Opera,Facebook
Norway,192.0.2.14,17:54:00,/swimming.html,Safari,Twitter
Iraq,192.0.2.9,09:24:11,/karate.html,Safari,Twitter
Netherlands,192.0.2.13,02:30:08,/handball.html,Microsoft Edge,LinkedIn
South Korea,192.0.2.11,04:34:17,/volleyball.html,Mozilla Firefox,Facebook
New Zealand,198.51.100.14,17:39:38,/shooting.html,Mozilla Firefox,Facebook
Greece,198.51.100.8,10:02:00,/sailing.html,Opera,Facebook
Canada,203.0.113.4,11:35:36,/judo.html,Opera,Facebook
Brazil,198.51.100.4,23:57:23,/karate.html,Google Chrome,Facebook
Hungary,203.0.113.8,14:45:35,/rowing.html,Opera,Facebook
Czech Republic,198.51.100.6,14:04:17,/weightlifting.html,Opera,Facebook
Bangladesh,203.0.113.3,01:33:46,/shooting.html,Google Chrome,Twitter
Iraq,192.0.2.9,01:08:27,/index.html,Opera,Twitter
Saudi Arabia,198.51.100.17,02:34:18,/images/games.jpg,Microsoft Edge,Facebook
Chile,192.0.2.4,02:16:56,/diving.html,Google Chrome,Facebook
Belgium,192.0.2.3,06:16:45,/images/games.jpg,Google Chrome,Facebook
Egypt,192.0.2.6,01:07:38,/karate.html,Internet Explorer,Facebook
Afghanistan,198.51.100.1,20:57:30,/shooting.html,Safari,Facebook
Brazil,198.51.100.4,10:55:12,/volleyball.html,Google Chrome,Facebook
Belgium,192.0.2.3,02:01:50,/football.html,Internet Explorer,Facebook
Egypt,192.0.2.6,13:43:18,/Triathalon.html,Google Chrome,Facebook
Germany,192.0.2.7,08:52:57,/archery.html,Mozilla Firefox,Twitter
Hungary,203.0.113.8,21:07:23,/sailing.html,Google Chrome,Twitter
Romania,203.0.113.16,15:23:18,/diving.html,Mozilla Firefox,Google Search
